Time,PlatformId,"Location (Lat, Long, Alt)","Orientation (Heading, Pitch, Roll)",Speed (m/s),FuelReserve,FuelBingo,FuelQuantity,FuelInitial,Name,Side,Domain
0,1,"[-27.358333,153.07639,304.79999]","[3.7699113,0.0,0.0]",61.73333359,0,4082.33137,11521.24631,11521.24631,red1,red,2
0,2,"[-27.188889,153.07389,304.79999]","[3.1415927,0.0,0.0]",61.73333359,0,4082.33137,11521.24631,11521.24631,red2,red,2
0,3,"[-27.462778,152.92083,304.79999]","[3.1415927,0.0,0.0]",61.73333359,0,4082.33137,11521.24631,11521.24631,red3,red,2
0,4,"[-27.479167,152.73306,304.79999]","[2.146755,0.0,0.0]",61.73333359,0,4082.33137,11521.24631,11521.24631,red4,red,2
0,5,"[-27.432778,152.77944,304.79999]","[2.146755,0.0,0.0]",61.73333359,0,4082.33137,11521.24631,11521.24631,red5,red,2
0,6,"[-27.510278,153.12417,304.79999]","[4.4156828,0.0,0.0]",61.73333359,0,4082.33137,11521.24631,11521.24631,red6,red,2
0,7,"[-27.727778,152.89167,304.79999]","[0.0,0.0,0.0]",61.73333359,0,2267.961872,7711.070366,7711.070366,blue1,blue,2
0,8,"[-27.551111,152.675,304.79999]","[1.3089969,0.0,0.0]",61.73333359,0,2267.961872,7711.070366,7711.070366,blue2,blue,2
1,1,"[-27.358776,153.07603,304.79999]","[-2.5112543,0.0,0.0]",61.73333359,0,4082.33137,11519.97072,11521.24631,red1,red,2
1,2,"[-27.189425,153.07383,304.79999]","[-3.0289266,0.0,0.0]",61.73333359,0,4082.33137,11519.99234,11521.24631,red2,red,2
1,3,"[-27.463316,152.9208,304.79999]","[-3.0862835,0.0,0.0]",61.73333359,0,4082.33137,11519.99234,11521.24631,red3,red,2
1,4,"[-27.479424,152.73361,304.79999]","[2.0449773,0.0,0.0]",61.73333359,0,4082.33137,11519.9491,11521.24631,red4,red,2
1,5,"[-27.43303,152.78,304.79999]","[2.0335077,0.0,0.0]",61.73333359,0,4082.33137,11519.9491,11521.24631,red5,red,2
1,6,"[-27.510413,153.12356,304.79999]","[-1.8134326,0.0,0.0]",61.73333359,0,4082.33137,11519.9491,11521.24631,red6,red,2
1,7,"[-27.727248,152.89167,304.79999]","[-2.7755681e-17,0.0,0.0]",61.73333359,0,2267.961872,7710.36537,7711.070366,blue1,blue,2
1,8,"[-27.550974,152.67557,304.79999]","[1.3089942,0.0,0.0]",61.73333359,0,2267.961872,7710.36537,7711.070366,blue2,blue,2
2,1,"[-27.359227,153.07566,304.79999]","[-2.5112514,0.0,0.0]",61.73333359,0,4082.33137,11518.67351,11521.24631,red1,red,2
2,2,"[-27.189979,153.07376,304.79999]","[-3.028926,0.0,0.0]",61.73333359,0,4082.33137,11518.69513,11521.24631,red2,red,2
2,3,"[-27.463873,152.92077,304.79999]","[-3.0862832,0.0,0.0]",61.73333359,0,4082.33137,11518.69513,11521.24631,red3,red,2
2,4,"[-27.479679,152.73417,304.79999]","[2.0449728,0.0,0.0]",61.73333359,0,4082.33137,11518.65189,11521.24631,red4,red,2
2,5,"[-27.433279,152.78056,304.79999]","[2.0335032,0.0,0.0]",61.73333359,0,4082.33137,11518.65189,11521.24631,red5,red,2
